categoria_do_encargo;tipo_do_encargo;codigo_do_encargo;valor_total_do_carne;parcelas;taxa_de_desconto_%;vencimento_da_primeira_parcela;valor_da_primeira_parcela;codigo_de_barras;complemento_despesa;calcular_taxa_de_administracao_sobre_o_servico;conta_bancaria;
1;1;23360;298.64;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;23596;313.44;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;23597;286.88;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;25049;543.68;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;25068;1311.12;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;25069;424.48;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;25220;373.12;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;26428;591.36;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;26443;260.72;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;26892;773.2;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;26922;981.04;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28156;36.96;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28221;599.84;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28222;671.6;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28223;595.84;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28224;595.84;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28225;599.84;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28226;671.6;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28227;595.84;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28228;595.84;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28230;671.6;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28231;595.84;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28232;595.84;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28560;1339.04;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28561;908.88;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28562;829.6;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28563;846.88;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28564;882.08;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28565;908.88;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28566;829.6;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28567;846.88;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28568;882.08;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28569;908.88;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28570;829.6;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28571;846.88;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28572;882.08;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28573;110.8;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28574;110.8;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28575;110.8;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28576;110.8;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28577;110.8;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28579;110.8;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28581;110.8;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28582;110.8;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28606;1043.12;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28738;191.28;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28818;581.28;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28823;580.48;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;28826;580.48;8;;10/05/2024;;;IPTU 2024;0;6;
